era	name	born	died
Early Renaissance - 15th Century	Robert Fayrfax	1464	1521
Early Renaissance - 15th Century	Richard Davy	1465	1507
Early Renaissance - 15th Century	William Cornysh	1465	1523
Early Renaissance - 15th Century	Juan Del Encina	1468	1529
High Renaissance - 16th Century	Francisco de Penalosa	1470	1528
High Renaissance - 16th Century	Luis de Narvaez	1540	
High Renaissance - 16th Century	Giovanni Battista Conforti	1550	
High Renaissance - 16th Century	Jean l'Heritier	1480	1552
High Renaissance - 16th Century	Gasparo Alberti	1480	1560
High Renaissance - 16th Century	Robert Carver	1484	1568
High Renaissance - 16th Century	Nicholas Ludford	1485	1557
High Renaissance - 16th Century	Clement Janequin	1485	1558
High Renaissance - 16th Century	Ludwig Senfl	1486	1543
High Renaissance - 16th Century	Costanzo Festa	1490	1545
High Renaissance - 16th Century	John Taverner	1490	1545
High Renaissance - 16th Century	Nicolas Gombert	1490	1556
High Renaissance - 16th Century	Adrian Willaert	1490	1562
High Renaissance - 16th Century	Francesco da Milano	1497	1543
High Renaissance - 16th Century	Heliodoro de Paiva	1500	1552
High Renaissance - 16th Century	Philippe Verdelot	1500	1552
High Renaissance - 16th Century	Christóbal de Morales	1500	1553
High Renaissance - 16th Century	Marco da l'Aquila	1505	1555
High Renaissance - 16th Century	Jacques Arcadelt	1505	1568
High Renaissance - 16th Century	Christopher Tye	1505	1572
High Renaissance - 16th Century	Thomas Tallis	1505	1585
High Renaissance - 16th Century	Bálint Bakfark	1507	1576
High Renaissance - 16th Century	Johannes Lupi	1510	1539
High Renaissance - 16th Century	Jacobus Clemens Non Papa	1510	1515
High Renaissance - 16th Century	Guillaume Morlaye	1510	1558
High Renaissance - 16th Century	Antonio de Cabezón	1510	1566
High Renaissance - 16th Century	Andrea di Cannaregio Gabrieli	1510	1586
High Renaissance - 16th Century	Giuseppe Guami	1510	1586
High Renaissance - 16th Century	John Sheppard	1515	1559
High Renaissance - 16th Century	Antonio Carreira	1515	1590
High Renaissance - 16th Century	Cipriano de Rore	1516	1565
High Renaissance - 16th Century	John Black	1520	1587
High Renaissance - 16th Century	Vincenzo Galilei	1520	1591
High Renaissance - 16th Century	Giovanni Perluigi Palestrina	1525	1594
High Renaissance - 16th Century	Francesco Guerrero	1527	1599
High Renaissance - 16th Century	Claude Le Jeune	1528	1600
High Renaissance - 16th Century	Alberto da Ripa	1529	1551
High Renaissance - 16th Century	David Peebles	1530	1579
High Renaissance - 16th Century	William Mundy	1530	1591
High Renaissance - 16th Century	Rodrigo de Ceballos	1530	1591
High Renaissance - 16th Century	Guillaume Boni	1530	1594
High Renaissance - 16th Century	Fabrizzio Caroso	1530	1600
High Renaissance - 16th Century	Pietro Paolo Borrono	1531	1549
High Renaissance - 16th Century	Hernando Franco	1532	1585
High Renaissance - 16th Century	Roland de Lassus	1532	1594
High Renaissance - 16th Century	Claudio Merculo	1533	1604
High Renaissance - 16th Century	Francesco Soto de Langa	1534	1619
High Renaissance - 16th Century	Giaches de Wert	1535	1596
High Renaissance - 16th Century	Robert Whyte	1538	1574
High Renaissance - 16th Century	Giovanni Paolo Paladini	1540	1560
High Renaissance - 16th Century	Giovanni Leonardo Primavera	1540	1585
High Renaissance - 16th Century	Gioseffo Guami	1540	1611
High Renaissance - 16th Century	Hernando de Cabezón	1541	1602
High Renaissance - 16th Century	William Byrd	1543	1623
High Renaissance - 16th Century	Anthony Holborne	1602	
High Renaissance - 16th Century	Jacob Polonais	1545	1605
High Renaissance - 16th Century	Tamas Luis de Victoria	1548	1611
High Renaissance - 16th Century	François-Eustache Du Caurroy	1549	1609
Early Baroque - Late 16th and 17th Centuries	Adrian Le Roy	1550	1580
Early Baroque - Late 16th and 17th Centuries	Leonardo Meldart Fiamengo	1550	1600
Early Baroque - Late 16th and 17th Centuries	Fabrizio Dentice	1550	1600
Early Baroque - Late 16th and 17th Centuries	Pomponio Nenna	1550	1613
Early Baroque - Late 16th and 17th Centuries	Pedro de Cristo	1550	1618
Early Baroque - Late 16th and 17th Centuries	Giovanni Gabrieli	1553	1612
Early Baroque - Late 16th and 17th Centuries	Alonso Lôbo	1555	1617
Early Baroque - Late 16th and 17th Centuries	Gabriele Villani	1555	1625
Early Baroque - Late 16th and 17th Centuries	Manuel Rodrigues Coelho	1555	1635
Early Baroque - Late 16th and 17th Centuries	Thomas Morley	1557	1603
Early Baroque - Late 16th and 17th Centuries	Conte Alfonso Fontanelli	1557	1622
Early Baroque - Late 16th and 17th Centuries	Don Carlo Gesualdo	1560	1613
Early Baroque - Late 16th and 17th Centuries	Peter Philips	1560	1628
Early Baroque - Late 16th and 17th Centuries	William Brade	1560	1630
Early Baroque - Late 16th and 17th Centuries	Dario Castello	1560	1640
Early Baroque - Late 16th and 17th Centuries	Hieronymus Praetorius	1560	1629
Early Baroque - Late 16th and 17th Centuries	John Angus	1562	1595
Early Baroque - Late 16th and 17th Centuries	Jan Pieterszoon Sweelinck	1562	1621
Early Baroque - Late 16th and 17th Centuries	John Bull	1562	1628
Early Baroque - Late 16th and 17th Centuries	John Dowland	1563	1626
Early Baroque - Late 16th and 17th Centuries	Sebastian Aguilera de Heredia	1565	1627
Early Baroque - Late 16th and 17th Centuries	Ascanio Mayone	1565	1627
Early Baroque - Late 16th and 17th Centuries	Giles Farnaby	1565	1640
Early Baroque - Late 16th and 17th Centuries	Duarte Lobo	1565	1646
Early Baroque - Late 16th and 17th Centuries	Alessandro Piccinini	1566	1638
Early Baroque - Late 16th and 17th Centuries	Frei Manuel Cardoso	1566	1650
Early Baroque - Late 16th and 17th Centuries	Claudio Giovanni Antonio Monteverdi	1567	1643
Early Baroque - Late 16th and 17th Centuries	Girolamo Conversi	1570	1590
Early Baroque - Late 16th and 17th Centuries	Diomedes Cato	1570	1615
Early Baroque - Late 16th and 17th Centuries	Giovanni Paolo Cima	1570	1622
Early Baroque - Late 16th and 17th Centuries	Alphonso Ii Ferrabosco	1570	1628
Early Baroque - Late 16th and 17th Centuries	Bartolme de Selma	1570	1638
Early Baroque - Late 16th and 17th Centuries	Thomas Lupo	1571	1627
Early Baroque - Late 16th and 17th Centuries	Filips de Magalhaes	1571	1652
Early Baroque - Late 16th and 17th Centuries	Michael Praetorius	1571	1621
Early Baroque - Late 16th and 17th Centuries	Daniel Bacheler	1572	1618
Early Baroque - Late 16th and 17th Centuries	Thomas Tomkins	1572	1656
Early Baroque - Late 16th and 17th Centuries	Francisco de Peraza	1575	1600
Early Baroque - Late 16th and 17th Centuries	Thomas Weelkes	1575	1623
Early Baroque - Late 16th and 17th Centuries	William Simmes	1575	1625
Early Baroque - Late 16th and 17th Centuries	John Coprario	1575	1626
Early Baroque - Late 16th and 17th Centuries	Estevao Lopes Morago	1575	1630
Early Baroque - Late 16th and 17th Centuries	Estevao de Brito	1575	1641
Early Baroque - Late 16th and 17th Centuries	Giovanni Maria Trabaci	1575	1647
Early Baroque - Late 16th and 17th Centuries	Ennemond Gaultier	1575	1651
Early Baroque - Late 16th and 17th Centuries	Francisco Correa de Arauxo	1576	1654
Early Baroque - Late 16th and 17th Centuries	Thomas Ford	1580	1648
Early Baroque - Late 16th and 17th Centuries	Giovanni Girolamo Kapsberger	1580	1651
Early Baroque - Late 16th and 17th Centuries	Edward		
Early Baroque - Late 16th and 17th Centuries	Gregorio Allegri	1582	1652
Early Baroque - Late 16th and 17th Centuries	Thomas Simpson	1582	1628
Early Baroque - Late 16th and 17th Centuries	Robert Johnson	1583	1633
Early Baroque - Late 16th and 17th Centuries	Girolamo Frescobaldi	1583	1643
Early Baroque - Late 16th and 17th Centuries	Orlando Gibbons	1583	1625
Early Baroque - Late 16th and 17th Centuries	Heinrich Schütz	1585	1672
Early Baroque - Late 16th and 17th Centuries	Johann Hermann Schein	1586	1630
Early Baroque - Late 16th and 17th Centuries	Samuel Scheidt	1587	1654
Early Baroque - Late 16th and 17th Centuries	Francesco Turini	1589	1656
Early Baroque - Late 16th and 17th Centuries	Nicholas Strogers	1590	1620
Early Baroque - Late 16th and 17th Centuries	Juan Gutierrez de Padilla	1590	1664
Early Baroque - Late 16th and 17th Centuries	Jacques Gaultier	1592	1652
Early Baroque - Late 16th and 17th Centuries	John Jenkins	1592	1678
Early Baroque - Late 16th and 17th Centuries	Tarquinio Mercula	1594	1665
Early Baroque - Late 16th and 17th Centuries	Heinrich Scheidemann	1595	1663
Early Baroque - Late 16th and 17th Centuries	Biagio Marini	1597	1660
Early Baroque - Late 16th and 17th Centuries	Luigi Rossi	1598	1653
Early Baroque - Late 16th and 17th Centuries	Bernardo Storace	1660	
Early Baroque - Late 16th and 17th Centuries	John O'Keover	1600	1663
Early Baroque - Late 16th and 17th Centuries	Etienne Moulinie	1600	1669
Early Baroque - Late 16th and 17th Centuries	Denis Gaultier	1600	1672
Early Baroque - Late 16th and 17th Centuries	Girolamo Fantini	1602	
Early Baroque - Late 16th and 17th Centuries	William Lawes	1602	1645
Early Baroque - Late 16th and 17th Centuries	Jacques Champion de Chambonnieres	1602	1672
Early Baroque - Late 16th and 17th Centuries	Don Marco Uccellini	1603	1680
Early Baroque - Late 16th and 17th Centuries	François Du Fault	1604	1670
Early Baroque - Late 16th and 17th Centuries	Joao Lourenco Rebelo	1610	1661
Early Baroque - Late 16th and 17th Centuries	Luigi Battiferri	1610	1682
Early Baroque - Late 16th and 17th Centuries	Henri Dumont	1610	1684
Early Baroque - Late 16th and 17th Centuries	Michel Lambert	1610	1696
Early Baroque - Late 16th and 17th Centuries	Pablo Bruna	1611	1679
Early Baroque - Late 16th and 17th Centuries	Francesco Lopez Capillas	1612	1673
Early Baroque - Late 16th and 17th Centuries	Christopher Simpson	1615	1669
Early Baroque - Late 16th and 17th Centuries	Johann Jakob Froberger	1616	1667
Early Baroque - Late 16th and 17th Centuries	Joan Cererols	1618	1680
Early Baroque - Late 16th and 17th Centuries	Matthias Weckmann	1619	1674
Early Baroque - Late 16th and 17th Centuries	Johann Rosenmuller	1619	1684
Early Baroque - Late 16th and 17th Centuries	Anthoni Van Noordt	1620	1675
Early Baroque - Late 16th and 17th Centuries	Matthew Locke	1621	1677
Early Baroque - Late 16th and 17th Centuries	Dietrich Becker	1623	1679
Early Baroque - Late 16th and 17th Centuries	Johann Heinrich Schmelzer	1623	1680
Early Baroque - Late 16th and 17th Centuries	Jan Adam Reincken	1623	1722
Early Baroque - Late 16th and 17th Centuries	Jacques Gallot	1625	1696
Early Baroque - Late 16th and 17th Centuries	Louis Couperin	1626	1661
Early Baroque - Late 16th and 17th Centuries	Charles Mouton	1626	1710
Early Baroque - Late 16th and 17th Centuries	Johann Caspar Kerll	1627	1693
Early Baroque - Late 16th and 17th Centuries	Lelio Colista	1629	1680
Early Baroque - Late 16th and 17th Centuries	Johann Michael Nicolai	1629	1685
Early Baroque - Late 16th and 17th Centuries	Jean-Baptiste Lully	1632	1687
Early Baroque - Late 16th and 17th Centuries	Andres de Sola	1634	1696
Early Baroque - Late 16th and 17th Centuries	Sieur de Sainte-Colombe	1635	1690
Early Baroque - Late 16th and 17th Centuries	Jean-Henri d'Anglebert	1635	1691
Early Baroque - Late 16th and 17th Centuries	Esaias Reusner	1636	1679
Early Baroque - Late 16th and 17th Centuries	John Baston	1700	
Early Baroque - Late 16th and 17th Centuries	Cesare Bendinelli	1700	
Early Baroque - Late 16th and 17th Centuries	Gaspard Le Roux	1707	
Early Baroque - Late 16th and 17th Centuries	Dietrich Buxtehude	1637	1707
Early Baroque - Late 16th and 17th Centuries	Bernardo Pasquini	1637	1710
Early Baroque - Late 16th and 17th Centuries	Diogo Dias Melgas	1638	1700
Early Baroque - Late 16th and 17th Centuries	Pavel Josef Vejvanovsky	1640	1693
Early Baroque - Late 16th and 17th Centuries	Carolus Harquart	1640	1701
Early Baroque - Late 16th and 17th Centuries	Alessandro Stradella	1642	1682
Early Baroque - Late 16th and 17th Centuries	Johann Anton Losy van Losymthal	1643	1721
Early Baroque - Late 16th and 17th Centuries	Marc-Antoine Charpentier	1644	1704
Early Baroque - Late 16th and 17th Centuries	Heinrich Ignaz Franz von Biber	1644	1704
Early Baroque - Late 16th and 17th Centuries	Juan Bautista Jose Cabanilles	1644	1712
Early Baroque - Late 16th and 17th Centuries	John Blow	1648	1708
Early Baroque - Late 16th and 17th Centuries	Nicola Matteis	1714	
Early Baroque - Late 16th and 17th Centuries	Giovanni Maria Capelli	1648	1726
Early Baroque - Late 16th and 17th Centuries	Pieter Bustijn	1729	
High Baroque - Late 17th and Early 18th Centuries	Petronio Franceschini	1650	1680
High Baroque - Late 17th and Early 18th Centuries	Bernardo Clavijo del Castillo	1650	1700
High Baroque - Late 17th and Early 18th Centuries	Antonio de Salazar	1650	1715
High Baroque - Late 17th and Early 18th Centuries	Johann Jacob Walther	1650	1717
High Baroque - Late 17th and Early 18th Centuries	Robert de Visee	1650	1725
High Baroque - Late 17th and Early 18th Centuries	Domenico Gabrieli	1651	1690
High Baroque - Late 17th and Early 18th Centuries	Arcangelo Corelli	1653	1713
High Baroque - Late 17th and Early 18th Centuries	Georg Muffat	1653	1704
High Baroque - Late 17th and Early 18th Centuries	Johann Pachelbel	1653	1706
High Baroque - Late 17th and Early 18th Centuries	Pablo Nassarre	1654	1730
High Baroque - Late 17th and Early 18th Centuries	Vincenz Lubeck	1654	1740
High Baroque - Late 17th and Early 18th Centuries	Marin Marais	1656	1728
High Baroque - Late 17th and Early 18th Centuries	Michel-Richard Delalande	1657	1726
High Baroque - Late 17th and Early 18th Centuries	Giuseppe Torelli	1658	1709
High Baroque - Late 17th and Early 18th Centuries	Henry Purcell	1659	1695
High Baroque - Late 17th and Early 18th Centuries	Sybrant Van Noordt		
High Baroque - Late 17th and Early 18th Centuries	Johann Kuhnau	1660	1722
High Baroque - Late 17th and Early 18th Centuries	Sebastian Duron	1660	1716
High Baroque - Late 17th and Early 18th Centuries	Alessandro Scarlatti	1660	1725
High Baroque - Late 17th and Early 18th Centuries	Andre Campra	1660	1744
High Baroque - Late 17th and Early 18th Centuries	Jean-Fery Rebel	1661	1747
High Baroque - Late 17th and Early 18th Centuries	Georg Bohm	1661	1733
High Baroque - Late 17th and Early 18th Centuries	Friederich Wilhelm Zachow	1663	1712
High Baroque - Late 17th and Early 18th Centuries	Elizabeth Jacquet de la Guerre	1664	1729
High Baroque - Late 17th and Early 18th Centuries	Johann Christoph Pez	1664	1716
High Baroque - Late 17th and Early 18th Centuries	Nikolaus Bruhns	1665	1697
High Baroque - Late 17th and Early 18th Centuries	Johann Caspar Ferdinand Fischer	1665	1746
High Baroque - Late 17th and Early 18th Centuries	Charles François Dieupart	1667	1740
High Baroque - Late 17th and Early 18th Centuries	Antonio Lotti	1667	1740
High Baroque - Late 17th and Early 18th Centuries	Michel Pignolet de Monteclair	1667	1737
High Baroque - Late 17th and Early 18th Centuries	Jean Hyacinthe Theodore Gilles	1668	1705
High Baroque - Late 17th and Early 18th Centuries	François Couperin	1668	1733
High Baroque - Late 17th and Early 18th Centuries	Miquel Lopez	1669	1723
High Baroque - Late 17th and Early 18th Centuries	Louis Marchand	1669	1732
High Baroque - Late 17th and Early 18th Centuries	Antonio Caldara	1670	1736
High Baroque - Late 17th and Early 18th Centuries	David Kellner	1670	1748
High Baroque - Late 17th and Early 18th Centuries	Giovanni Bononcini	1670	1747
High Baroque - Late 17th and Early 18th Centuries	Tomaso Albinoni	1671	1750
High Baroque - Late 17th and Early 18th Centuries	Antoine Forqueray	1672	1745
High Baroque - Late 17th and Early 18th Centuries	Francesco Mancini	1672	1737
High Baroque - Late 17th and Early 18th Centuries	Andre-Cardinal Destouches	1672	1749
High Baroque - Late 17th and Early 18th Centuries	Francesco Antonio Bonporti	1672	1748
High Baroque - Late 17th and Early 18th Centuries	Jeremiah Clarke	1674	1707
High Baroque - Late 17th and Early 18th Centuries	Jacques Hotteterre	1674	1762
High Baroque - Late 17th and Early 18th Centuries	Michel de la Barre	1675	1743
High Baroque - Late 17th and Early 18th Centuries	Johann Georg Reinhardt	1676	1742
High Baroque - Late 17th and Early 18th Centuries	Louis-Nicolas Clerambault	1676	1749
High Baroque - Late 17th and Early 18th Centuries	Antonio Lucio Vivaldi	1678	1741
High Baroque - Late 17th and Early 18th Centuries	Johann Georg Pisendel	1678	1755
High Baroque - Late 17th and Early 18th Centuries	Georg Friedrich Kauffmann	1679	1735
High Baroque - Late 17th and Early 18th Centuries	Jan Dismas Zelenka	1679	1745
High Baroque - Late 17th and Early 18th Centuries	Camilla de Rossi	1680	1740
High Baroque - Late 17th and Early 18th Centuries	Giuseppe Valentini	1680	1740
High Baroque - Late 17th and Early 18th Centuries	Jean-Baptiste Loeillet	1680	1730
High Baroque - Late 17th and Early 18th Centuries	Georg Philipp Telemann	1681	1767
High Baroque - Late 17th and Early 18th Centuries	Johann Mattheson	1681	1764
High Baroque - Late 17th and Early 18th Centuries	Jean-François Dandrieu	1682	1738
High Baroque - Late 17th and Early 18th Centuries	Jean-Joseph Mouret	1682	1738
High Baroque - Late 17th and Early 18th Centuries	Christoph Graupner	1683	1760
High Baroque - Late 17th and Early 18th Centuries	Johann David Heinichen	1683	1729
High Baroque - Late 17th and Early 18th Centuries	Jean-Philippe Rameau	1683	1764
High Baroque - Late 17th and Early 18th Centuries	Alessandro Marcello	1684	1750
High Baroque - Late 17th and Early 18th Centuries	Francesco Durante	1684	1755
High Baroque - Late 17th and Early 18th Centuries	Giuseppe Matteo Alberti	1685	1751
High Baroque - Late 17th and Early 18th Centuries	John Reading	1685	1764
High Baroque - Late 17th and Early 18th Centuries	Louis Antoine Dornel	1685	1765
High Baroque - Late 17th and Early 18th Centuries	George Frideric Handel	1685	1759
High Baroque - Late 17th and Early 18th Centuries	Johann Sebastian Bach	1685	1750
High Baroque - Late 17th and Early 18th Centuries	Giuseppe Domenico Scarlatti	1685	1757
High Baroque - Late 17th and Early 18th Centuries	Le Sieur de Machy	1686	1692
High Baroque - Late 17th and Early 18th Centuries	Benedetto Marcello	1686	1739
High Baroque - Late 17th and Early 18th Centuries	Nicola Antonio Porpora	1686	1768
High Baroque - Late 17th and Early 18th Centuries	Sylvius Leopold Weiss	1686	1750
High Baroque - Late 17th and Early 18th Centuries	Francesco Xaverio Geminiani	1687	1762
High Baroque - Late 17th and Early 18th Centuries	Johann Friedrich Fasch	1688	1758
High Baroque - Late 17th and Early 18th Centuries	Giovanni Lorenzo Somis	1688	1770
High Baroque - Late 17th and Early 18th Centuries	Ferdinand Zellbell	1689	1765
High Baroque - Late 17th and Early 18th Centuries	Joseph Bodin de Boismortier	1689	1755
High Baroque - Late 17th and Early 18th Centuries	William Babell	1690	1723
High Baroque - Late 17th and Early 18th Centuries	Paolo Benedetto Bellinzini	1690	1757
High Baroque - Late 17th and Early 18th Centuries	Jean Jacques-Christophe Naudot	1690	1762
High Baroque - Late 17th and Early 18th Centuries	Thomas Roseingrave	1690	1766
High Baroque - Late 17th and Early 18th Centuries	Pietro Baldassare	1690	1768
High Baroque - Late 17th and Early 18th Centuries	Francesco Barsanti	1690	1772
High Baroque - Late 17th and Early 18th Centuries	Gottfried Heinrich Stolzel	1690	1749
High Baroque - Late 17th and Early 18th Centuries	Francesco Maria Veracini	1690	1768
High Baroque - Late 17th and Early 18th Centuries	Gottlieb Theophil Muffat	1690	1770
High Baroque - Late 17th and Early 18th Centuries	Unico Wilhelm Van Wassenaer	1692	1766
High Baroque - Late 17th and Early 18th Centuries	Giuseppe Tartini	1692	1770
High Baroque - Late 17th and Early 18th Centuries	Christoph Forster	1693	1745
High Baroque - Late 17th and Early 18th Centuries	Johann Samuel Endler	1694	1762
High Baroque - Late 17th and Early 18th Centuries	Louis-Claude Daquin	1694	1772
High Baroque - Late 17th and Early 18th Centuries	Johan Helmich Roman	1694	1758
High Baroque - Late 17th and Early 18th Centuries	Giuseppe Sammartini	1695	1750
High Baroque - Late 17th and Early 18th Centuries	Pietro-Antonio Locatelli	1695	1764
High Baroque - Late 17th and Early 18th Centuries	Pierre Fevrier	1696	1764
High Baroque - Late 17th and Early 18th Centuries	Konrad Friedrich Hurlebusch	1696	1765
High Baroque - Late 17th and Early 18th Centuries	Johann Melchior Molter	1696	1765
High Baroque - Late 17th and Early 18th Centuries	Maurice Greene	1696	1755
High Baroque - Late 17th and Early 18th Centuries	Johann Joachim Quantz	1697	1773
High Baroque - Late 17th and Early 18th Centuries	Jean Marie l'aine Léclair	1697	1764
High Baroque - Late 17th and Early 18th Centuries	François Francoeur	1698	1787
High Baroque - Late 17th and Early 18th Centuries	Joseph Gibbs	1698	1788
High Baroque - Late 17th and Early 18th Centuries	Johann Adolph Hasse	1699	1783
Classical/Romantic - Late 18th Century	Giovanni Benedetto Platti	1700	1763
Classical/Romantic - Late 18th Century	Thomas Chilcot	1700	1766
Classical/Romantic - Late 18th Century	Michel Blavet	1700	1748
Classical/Romantic - Late 18th Century	Giovanni Battista Sammartini	1701	1775
Classical/Romantic - Late 18th Century	Johan Joachim Agrell	1701	1765
Classical/Romantic - Late 18th Century	John Travers	1703	1758
Classical/Romantic - Late 18th Century	Johann Gottlieb Graun	1703	1771
Classical/Romantic - Late 18th Century	Joseph-Hector Fiocco	1703	1741
Classical/Romantic - Late 18th Century	Giovanni-Battista Pescetti	1704	1766
Classical/Romantic - Late 18th Century	Carl Heinrich Graun	1704	1759
Classical/Romantic - Late 18th Century	Jose Antonio Carlos de Seixas	1704	1742
Classical/Romantic - Late 18th Century	Frantiek Antonín Ignac Tuma	1704	1774
Classical/Romantic - Late 18th Century	Joseph-Nicholas-Pancrace Royer	1705	1755
Classical/Romantic - Late 18th Century	Benjamin Franklin	1706	1790
Classical/Romantic - Late 18th Century	Baldassare Galuppi	1706	1785
Classical/Romantic - Late 18th Century	Carlo Cecere	1706	1761
Classical/Romantic - Late 18th Century	Pietro Domenico Paradisi	1707	1791
Classical/Romantic - Late 18th Century	Jean Barriere	1707	1747
Classical/Romantic - Late 18th Century	Johann Baptist Georg Neruda	1708	1780
Classical/Romantic - Late 18th Century	Johann Adolph Scheibe	1708	1776
Classical/Romantic - Late 18th Century	Johann Gottlieb Janitsch	1708	1763
Classical/Romantic - Late 18th Century	Christoph Schaffrath	1709	1763
Classical/Romantic - Late 18th Century	Michel Corrette	1709	1795
Classical/Romantic - Late 18th Century	Charles Avison	1709	1770
Classical/Romantic - Late 18th Century	Frantiek Benda	1709	1786
Classical/Romantic - Late 18th Century	Franz Xaver Richter	1709	1789
Classical/Romantic - Late 18th Century	Jean-Noel Hamal	1709	1778
Classical/Romantic - Late 18th Century	Salvatore Lanzetti	1710	1780
Classical/Romantic - Late 18th Century	John Parry	1710	1782
Classical/Romantic - Late 18th Century	Johann Georg Rollig	1710	1790
Classical/Romantic - Late 18th Century	Giovanni Battista Pergolesi	1710	1736
Classical/Romantic - Late 18th Century	Thomas Augustine Arne	1710	1778
Classical/Romantic - Late 18th Century	Arvid Niclas von Hopken	1710	1778
Classical/Romantic - Late 18th Century	Wilhelm Friedemann Bach	1710	1784
Classical/Romantic - Late 18th Century	William Boyce	1711	1779
Classical/Romantic - Late 18th Century	Ignaz Jakob Holzbauer	1711	1783
Classical/Romantic - Late 18th Century	John Hebden	1712	1765
Classical/Romantic - Late 18th Century	John Stanley	1712	1786
Classical/Romantic - Late 18th Century	Frederich The Great	1712	1786
Classical/Romantic - Late 18th Century	Johann Ludwig Krebs	1713	1780
Classical/Romantic - Late 18th Century	Per Brant	1714	1767
Classical/Romantic - Late 18th Century	Gottfried August Homilius	1714	1785
Classical/Romantic - Late 18th Century	Carl Philipp Emanuel Bach	1714	1788
Classical/Romantic - Late 18th Century	Christoph Willibald Ritter von Gluck	1714	1787
Classical/Romantic - Late 18th Century	Jacques Duphly	1715	1789
Classical/Romantic - Late 18th Century	Georg Christoph Wagenseil	1715	1777
Classical/Romantic - Late 18th Century	James Nares	1715	1783
Classical/Romantic - Late 18th Century	Hinrich Philip Johnsen	1716	1779
Classical/Romantic - Late 18th Century	Gaspard Fritz	1716	1783
Classical/Romantic - Late 18th Century	Felice De' Giardini	1716	1796
Classical/Romantic - Late 18th Century	Rudolf Straube	1717	1785
Classical/Romantic - Late 18th Century	Georg Matthias Monn	1717	1750
Classical/Romantic - Late 18th Century	Johann Wenzel Anton Stamitz	1717	1757
Classical/Romantic - Late 18th Century	Carl Heinrich Biber	1718	1749
Classical/Romantic - Late 18th Century	Johan Nicolaas Lentz	1719	1720
Classical/Romantic - Late 18th Century	Antoine Mahaut	1719	1775
Classical/Romantic - Late 18th Century	Johann Georg Leopold Mozart	1719	1787
Classical/Romantic - Late 18th Century	Johann Christoph Altnikol	1719	1759
Classical/Romantic - Late 18th Century	Anders Wesstrom	1720	1781
Classical/Romantic - Late 18th Century	Thomas Vincent	1720	1783
Classical/Romantic - Late 18th Century	Johann Friedrich Agricola	1720	1774
Classical/Romantic - Late 18th Century	Pieter Hellendaal	1721	1799
Classical/Romantic - Late 18th Century	Johann Philipp Kirnberger	1721	1783
Classical/Romantic - Late 18th Century	John Garth	1722	1810
Classical/Romantic - Late 18th Century	Johann Ernst Bach	1722	1777
Classical/Romantic - Late 18th Century	Pietro Nardini	1722	1793
Classical/Romantic - Late 18th Century	Jiri Antonín Benda	1722	1795
Classical/Romantic - Late 18th Century	Christiaan Ernst Graaf	1723	1803
Classical/Romantic - Late 18th Century	Carl Friedrich Abel	1723	1787
Classical/Romantic - Late 18th Century	Giovanni Battista Cirri	1724	1808
